Date-Time,HX_Example_Data_V11_v1?Hot_Liquid_Flow_Data,HX_Example_Data_V11_v1?Cold_Liquid_Flow_Data,HX_Example_Data_V11_v1?T_Hot_in_Data,HX_Example_Data_V11_v1?T_Cold_Out_Data,HX_Example_Data_V11_v1?T_Hot_out_Data,HX_Example_Data_V11_v1?T_Cold_In_Data
2015-12-08T00:00:00,196010.8981,735301.4898,497.4702083,306.1575,262.4758333,187.8822917
2015-12-09T00:00:00,196005.384,730670.1269,495.9566667,301.268125,256.331875,180.6970833
2015-12-10T00:00:00,195995.2673,730228.0842,496.675625,304.5008333,260.74375,186.958125
2015-12-11T00:00:00,196005.75,735225.6263,498.0777083,310.1133333,268.5372917,197.7879167
2015-12-12T00:00:00,195997.3756,735220.7742,498.3654167,307.3004167,265.2385417,194.2089583
2015-12-13T00:00:00,196009.0698,735199.439,497.76125,296.9666667,252.41875,180.39625
2015-12-14T00:00:00,196005.4677,735212.28,497.2004167,290.6664583,244.709375,173.8579167
2015-12-15T00:00:00,196004.6394,735288.8696,497.3154167,293.4420833,248.5014583,176.9889583
2015-12-16T00:00:00,198678.0425,735332.4335,495.9629167,293.9420833,249.2827083,178.0529167
2015-12-17T00:00:00,207224.7604,735255.8327,493.8302083,294.7483333,249.4204167,180.170625
2015-12-18T00:00:00,211763.7677,728128.6292,491.3352083,292.3345833,245.530625,174.9679167
2015-12-19T00:00:00,210007.739,709515.5708,488.5977083,293.89,246.9695833,177.3652083
2015-12-20T00:00:00,210000.1796,698163.1794,488.3445833,302.620625,257.1427083,190.3733333
2015-12-21T00:00:00,210003.5165,709439.7777,488.9377083,298.825,253.0802083,184.9395833
2015-12-22T00:00:00,210012.4352,727846.5785,489.0895833,293.66875,248.0895833,178.9720833
2015-12-23T00:00:00,209974.7915,732091.6865,490.5679167,298.96375,254.9235417,187.40875
2015-12-24T00:00:00,211579.201,730406.5723,492.2764583,307.3439583,265.0416667,197.941875
2015-12-25T00:00:00,211750.1531,733091.3592,493.24875,311.2925,270.2866667,202.9064583
2015-12-26T00:00:00,210010.4708,734554.5569,492.9166667,310.4833333,269.5427083,202.3941667
